subject,perc,female,soep,easy,session,safe,treatment,outlier
1,45,1,2,0,78,1,2,0
2,41,0,2,0,78,1,2,0
3,60,0,3,0,78,1,2,0
4,84,1,6,4,78,1,2,0
5,54,0,3,7,78,1,2,0
6,55,1,7,4,78,1,2,0
7,50,0,8,3,78,1,2,0
8,40,1,6,2,78,1,2,0
9,35,1,8,2,78,1,2,0
10,67,1,3,0,78,1,2,0
11,43,1,8,1,78,1,2,0
12,41,1,8,0,78,1,2,0
13,25,1,7,2,78,1,2,0
14,29,0,3,1,78,1,2,0
15,51,1,7,2,78,1,2,0
16,45,0,2,3,78,1,2,0
17,32,1,8,6,78,1,2,0
18,42,1,5,3,78,1,2,0
19,55,0,4,2,78,1,2,0
20,50,1,6,5,78,1,2,0
21,32,1,5,0,78,1,2,0
22,30,1,2,2,78,1,2,0
23,44,1,3,6,78,1,2,0
24,60,0,3,6,78,1,2,0
25,25,0,8,1,78,1,2,0
26,50,1,8,0,78,1,2,0
27,45,1,5,5,78,1,2,0
28,37,0,3,1,78,1,2,0
29,62,1,6,1,78,1,2,0
30,53,1,3,0,78,1,2,0
31,50,0,7,2,78,1,2,0
1,57,0,3,0,77,1,2,0
2,53,0,3,0,77,1,2,0
3,44,0,5,1,77,1,2,0
4,28,1,7,0,77,1,2,0
5,60,1,3,0,77,1,2,0
6,25,1,2,5,77,1,2,0
7,60,1,5,2,77,1,2,0
8,60,1,6,3,77,1,2,0
9,55,0,7,2,77,1,2,0
11,60,0,5,0,77,1,2,0
12,48,0,5,0,77,1,2,0
13,55,1,5,5,77,1,2,0
14,27,1,3,0,77,1,2,0
15,40,0,5,1,77,1,2,0
17,48,0,8,1,77,1,2,0
19,49,1,4,1,77,1,2,0
20,62,1,8,0,77,1,2,0
22,48,1,4,2,77,1,2,0
23,44,1,4,2,77,1,2,0
24,50,1,3,2,77,1,2,0
25,45,1,5,4,77,1,2,0
26,44,0,7,0,77,1,2,0
28,43,0,6,0,77,1,2,0
29,65,1,4,7,77,1,2,0
30,50,0,3,1,77,1,2,0
31,35,1,2,0,77,1,2,0
32,65,1,2,7,77,1,2,0
1,65,0,7,0,76,1,2,0
2,55,0,5,1,76,1,2,0
3,37,1,3,7,76,1,2,0
4,52,1,2,8,76,1,2,0
5,26,0,5,0,76,1,2,0
6,30,0,2,0,76,1,2,0
7,50,0,7,1,76,1,2,0
8,50,0,6,8,76,1,2,0
9,65,0,7,0,76,1,2,0
10,52,1,3,1,76,1,2,0
11,35,1,4,6,76,1,2,0
12,45,0,2,0,76,1,2,0
13,27,1,2,6,76,1,2,0
14,55,0,8,0,76,1,2,0
15,73,0,7,2,76,1,2,0
16,50,0,3,0,76,1,2,0
17,70,1,6,1,76,1,2,0
18,50,1,2,2,76,1,2,0
19,54,1,6,8,76,1,2,0
20,40,1,5,5,76,1,2,0
21,60,0,5,7,76,1,2,0
22,45,0,9,1,76,1,2,0
23,40,1,2,0,76,1,2,0
24,54,1,4,8,76,1,2,0
25,40,1,3,2,76,1,2,0
26,50,1,1,0,76,1,2,0
27,52,1,5,0,76,1,2,0
28,64,1,3,3,76,1,2,0
29,55,1,7,0,76,1,2,0
30,40,1,2,0,76,1,2,0
31,50,1,4,0,76,1,2,0
32,25,1,2,0,76,1,2,0
1,35,1,3,1,75,1,2,0
2,63,0,9,0,75,1,2,0
3,40,1,5,3,75,1,2,0
4,60,0,8,0,75,1,2,0
5,40,1,4,2,75,1,2,0
7,70,1,4,3,75,1,2,0
8,50,0,5,7,75,1,2,0
9,65,0,6,0,75,1,2,0
10,60,0,10,0,75,1,2,0
11,45,1,4,3,75,1,2,0
12,25,1,5,0,75,1,2,0
13,40,1,3,1,75,1,2,0
14,60,1,5,2,75,1,2,0
15,25,1,4,0,75,1,2,0
16,50,1,5,6,75,1,2,0
17,50,0,5,2,75,1,2,0
18,75,0,6,0,75,1,2,0
19,60,1,4,0,75,1,2,0
20,45,1,3,0,75,1,2,0
21,36,0,1,2,75,1,2,0
22,55,1,3,0,75,1,2,0
23,69,1,4,0,75,1,2,0
24,45,1,5,0,75,1,2,0
25,40,0,5,0,75,1,2,0
26,25,0,5,3,75,1,2,0
27,66,0,8,0,75,1,2,0
28,62,1,2,2,75,1,2,0
29,50,1,3,3,75,1,2,0
30,65,0,5,0,75,1,2,0
31,38,1,6,0,75,1,2,0
32,50,1,6,0,75,1,2,0
1,50,1,7,2,74,1,2,0
2,65,0,0,1,74,1,2,0
3,45,1,4,3,74,1,2,0
4,25,1,2,0,74,1,2,0
5,27,1,8,0,74,1,2,0
6,45,1,6,1,74,1,2,0
7,50,1,2,0,74,1,2,0
9,60,0,7,0,74,1,2,0
10,45,0,3,8,74,1,2,0
11,52,1,2,8,74,1,2,0
12,40,0,2,1,74,1,2,0
13,53,1,5,4,74,1,2,0
14,40,1,7,2,74,1,2,0
16,65,1,7,1,74,1,2,0
17,35,0,7,1,74,1,2,0
18,45,0,7,3,74,1,2,0
19,45,1,4,1,74,1,2,0
20,50,0,3,0,74,1,2,0
21,50,1,6,5,74,1,2,0
22,65,0,8,1,74,1,2,0
23,62,0,8,0,74,1,2,0
24,42,1,2,1,74,1,2,0
25,25,0,3,1,74,1,2,0
26,50,1,5,1,74,1,2,0
28,69,0,6,4,74,1,2,0
29,59,0,8,1,74,1,2,0
30,57,1,3,1,74,1,2,0
31,30,1,3,1,74,1,2,0
32,36,0,2,2,74,1,2,0
1,45,0,7,1,73,1,2,0
2,50,1,2,1,73,1,2,0
3,25,0,2,0,73,1,2,0
4,50,1,5,2,73,1,2,0
5,40,1,4,1,73,1,2,0
6,40,1,4,0,73,1,2,0
7,50,1,2,0,73,1,2,0
8,45,0,5,1,73,1,2,0
9,50,1,6,3,73,1,2,0
10,60,0,3,1,73,1,2,0
11,35,0,6,1,73,1,2,0
13,45,1,4,0,73,1,2,0
15,56,1,3,0,73,1,2,0
16,45,1,3,5,73,1,2,0
17,50,1,2,1,73,1,2,0
18,50,1,6,1,73,1,2,0
19,60,0,3,0,73,1,2,0
20,60,0,6,2,73,1,2,0
21,50,1,3,0,73,1,2,0
22,40,1,5,0,73,1,2,0
23,52,1,8,0,73,1,2,0
24,25,0,1,5,73,1,2,0
26,54,1,6,2,73,1,2,0
27,62,0,7,1,73,1,2,0
28,50,1,2,1,73,1,2,0
1,40,0,3,1,72,1,2,0
2,35,0,8,2,72,1,2,0
3,50,1,3,0,72,1,2,0
4,50,0,5,2,72,1,2,0
5,60,1,4,4,72,1,2,0
6,65,0,7,3,72,1,2,0
7,43,1,3,8,72,1,2,0
8,39,1,8,1,72,1,2,0
9,25,1,3,0,72,1,2,0
10,45,1,5,3,72,1,2,0
11,25,1,7,5,72,1,2,0
12,62,1,2,3,72,1,2,0
13,62,1,6,1,72,1,2,0
14,46,1,3,0,72,1,2,0
15,38,1,1,1,72,1,2,0
16,25,1,5,2,72,1,2,0
11537,6,1,6,0,45,0,1,0
21537,39,1,7,0,45,0,1,0
31537,20,1,3,8,45,0,1,0
41537,28,1,2,0,45,0,1,0
51537,36,1,7,4,45,0,1,0
61537,14,1,5,5,45,0,1,0
71537,55,1,5,9,45,0,1,0
81537,61,1,2,5,45,0,1,0
91537,45,0,6,0,45,0,1,0
101537,56,1,2,2,45,0,1,0
121537,76,1,2,7,45,0,1,0
131537,59,1,6,0,45,0,1,0
141537,30,0,2,0,45,0,1,0
11454,45,0,3,1,44,0,1,0
31454,35,1,5,2,44,0,1,0
41454,28,1,7,5,44,0,1,0
51454,50,1,4,7,44,0,1,0
61454,65,0,6,3,44,0,1,0
71454,57,1,8,0,44,0,1,0
81454,35,1,6,1,44,0,1,0
91454,99,1,2,0,44,0,1,0
101454,56,1,4,8,44,0,1,0
121454,35,0,8,1,44,0,1,0
131454,20,1,7,8,44,0,1,0
141454,100,0,8,7,44,0,1,1
151454,5,1,6,10,44,0,1,0
311454,51,1,6,0,44,0,1,0
321454,60,1,3,0,44,0,1,0
11436,49,1,4,3,22,0,1,0
21436,65,1,5,0,22,0,1,0
31436,41,0,3,1,22,0,1,0
41436,55,1,7,0,22,0,1,0
51436,43,1,8,3,22,0,1,0
61436,41,0,6,5,22,0,1,0
71436,50,1,2,0,22,0,1,0
81436,30,0,2,0,22,0,1,0
91436,42,0,4,2,22,0,1,0
101436,45,0,5,0,22,0,1,0
111436,45,0,4,0,22,0,1,0
121436,65,1,6,2,22,0,1,0
131436,51,1,2,1,22,0,1,0
141436,76,1,6,7,22,0,1,0
151436,43,1,3,7,22,0,1,0
161436,60,0,4,2,22,0,1,0
171436,33,0,3,1,22,0,1,0
181436,46,1,5,9,22,0,1,0
191436,33,0,5,6,22,0,1,0
201436,40,1,7,8,22,0,1,0
211436,39,0,5,5,22,0,1,0
221436,25,0,6,0,22,0,1,0
231436,40,0,7,1,22,0,1,0
241436,75,0,8,2,22,0,1,0
251436,51,0,6,0,22,0,1,0
261436,70,0,8,5,22,0,1,0
281436,98,0,5,2,22,0,1,0
291436,52,1,6,8,22,0,1,0
301436,36,1,6,4,22,0,1,0
311436,25,1,3,5,22,0,1,0
11344,35,1,5,0,21,0,1,0
21344,40,0,7,2,21,0,1,0
31344,39,0,7,0,21,0,1,0
41344,75,1,8,2,21,0,1,0
51344,40,0,6,6,21,0,1,0
61344,60,1,7,5,21,0,1,0
71344,50,0,8,3,21,0,1,0
81344,35,1,2,5,21,0,1,0
91344,45,1,4,5,21,0,1,0
101344,55,1,6,0,21,0,1,0
111344,45,0,2,1,21,0,1,0
121344,50,0,4,2,21,0,1,0
131344,45,0,7,2,21,0,1,0
141344,30,1,2,5,21,0,1,0
151344,38,1,3,1,21,0,1,0
161344,79,1,3,1,21,0,1,0
171344,50,1,3,0,21,0,1,0
181344,33,0,3,2,21,0,1,0
201344,25,0,4,0,21,0,1,0
221344,50,0,2,1,21,0,1,0
231344,24,0,5,1,21,0,1,0
241344,50,0,4,0,21,0,1,0
251344,93,1,8,6,21,0,1,0
261344,32,0,3,0,21,0,1,0
271344,50,0,5,0,21,0,1,0
281344,75,1,2,2,21,0,1,0
291344,39,1,7,2,21,0,1,0
301344,55,1,3,3,21,0,1,0
311344,75,1,2,1,21,0,1,0
321344,51,1,8,0,21,0,1,0
11244,13,0,8,3,20,0,1,0
21244,35,1,2,0,20,0,1,0
31244,45,0,3,1,20,0,1,0
41244,43,1,8,5,20,0,1,0
51244,38,1,6,7,20,0,1,0
61244,55,0,7,3,20,0,1,0
71244,55,1,4,1,20,0,1,0
81244,63,1,2,3,20,0,1,0
91244,55,0,6,1,20,0,1,0
101244,40,1,7,0,20,0,1,0
121244,50,1,5,1,20,0,1,0
131244,50,0,7,3,20,0,1,0
141244,45,0,8,1,20,0,1,0
151244,40,1,6,9,20,0,1,0
161244,50,1,0,1,20,0,1,0
171244,36,1,5,6,20,0,1,0
181244,50,1,7,2,20,0,1,0
191244,63,0,7,0,20,0,1,0
201244,51,1,7,7,20,0,1,0
221244,65,1,9,0,20,0,1,0
231244,24,1,7,1,20,0,1,0
241244,44,1,8,6,20,0,1,0
251244,37,1,4,0,20,0,1,0
261244,31,1,2,5,20,0,1,0
271244,51,1,7,3,20,0,1,0
281244,50,0,8,1,20,0,1,0
291244,65,1,4,2,20,0,1,0
301244,30,1,6,7,20,0,1,0
311244,1,1,6,0,20,0,1,1
321244,20,1,6,8,20,0,1,0
11639,50,0,2,0,19,0,1,0
21639,51,0,7,0,19,0,1,0
31639,37,1,1,0,19,0,1,0
41639,62,1,6,1,19,0,1,0
51639,49,0,7,0,19,0,1,0
61639,45,1,6,5,19,0,1,0
71639,60,0,3,0,19,0,1,0
81639,35,1,1,0,19,0,1,0
91639,35,1,5,0,19,0,1,0
101639,46,1,6,5,19,0,1,0
111639,39,1,6,5,19,0,1,0
121639,46,1,7,4,19,0,1,0
131639,80,0,3,2,19,0,1,0
141639,34,1,2,2,19,0,1,0
151639,55,0,6,1,19,0,1,0
161639,25,1,4,0,19,0,1,0
171639,65,1,6,4,19,0,1,0
181639,31,1,8,1,19,0,1,0
191639,63,1,5,6,19,0,1,0
201639,61,0,7,2,19,0,1,0
211639,65,0,8,0,19,0,1,0
221639,55,1,7,0,19,0,1,0
231639,45,1,5,1,19,0,1,0
261639,61,1,3,0,19,0,1,0
271639,45,0,3,3,19,0,1,0
281639,40,0,3,5,19,0,1,0
291639,35,0,8,0,19,0,1,0
311639,45,1,7,0,19,0,1,0
11548,46,1,5,2,18,0,1,0
21548,50,1,6,1,18,0,1,0
31548,53,1,3,7,18,0,1,0
41548,49,0,4,0,18,0,1,0
51548,24,1,5,5,18,0,1,0
61548,50,0,5,0,18,0,1,0
71548,50,1,6,1,18,0,1,0
81548,50,0,7,8,18,0,1,0
91548,40,1,4,3,18,0,1,0
101548,50,1,6,3,18,0,1,0
111548,50,0,7,0,18,0,1,0
121548,51,1,6,3,18,0,1,0
131548,50,0,4,1,18,0,1,0
141548,45,0,7,6,18,0,1,0
151548,52,0,8,0,18,0,1,0
161548,30,1,2,2,18,0,1,0
171548,50,0,5,0,18,0,1,0
181548,45,0,7,0,18,0,1,0
191548,25,1,5,0,18,0,1,0
201548,47,1,3,2,18,0,1,0
211548,35,0,7,3,18,0,1,0
221548,8,1,5,3,18,0,1,0
231548,40,1,2,9,18,0,1,0
241548,50,0,5,0,18,0,1,0
251548,45,1,6,5,18,0,1,0
261548,51,1,6,0,18,0,1,0
281548,45,0,7,8,18,0,1,0
291548,55,0,5,0,18,0,1,0
301548,41,1,3,5,18,0,1,0
311548,51,1,8,0,18,0,1,0
321548,36,0,6,3,18,0,1,0
11554,40,0,8,0,8,0,1,0
21554,55,1,6,3,8,0,1,0
31554,60,0,6,1,8,0,1,0
41554,30,0,5,0,8,0,1,0
51554,50,1,6,2,8,0,1,0
61554,40,1,2,4,8,0,1,0
71554,57,0,7,0,8,0,1,0
81554,31,1,3,6,8,0,1,0
91554,44,0,2,1,8,0,1,0
101554,60,1,7,1,8,0,1,0
111554,45,1,6,5,8,0,1,0
121554,35,0,4,8,8,0,1,0
131554,55,1,4,5,8,0,1,0
141554,60,1,7,0,8,0,1,0
151554,55,0,2,8,8,0,1,0
161554,54,1,7,0,8,0,1,0
171554,55,1,6,8,8,0,1,0
181554,75,1,2,0,8,0,1,0
191554,48,1,7,0,8,0,1,0
201554,50,1,6,3,8,0,1,0
211554,40,1,2,0,8,0,1,0
221554,46,1,5,1,8,0,1,0
231554,25,0,7,0,8,0,1,0
241554,24,1,2,2,8,0,1,0
251554,31,1,3,0,8,0,1,0
261554,60,1,4,0,8,0,1,0
271554,43,0,7,0,8,0,1,0
281554,78,1,6,0,8,0,1,0
291554,70,1,5,0,8,0,1,0
301554,50,0,7,0,8,0,1,0
311554,47,0,4,0,8,0,1,0
321554,60,1,3,0,8,0,1,0
11729,42,1,8,NA,6,0,1,0
21729,50,1,5,NA,6,0,1,0
31729,55,0,7,NA,6,0,1,0
41729,33,1,4,NA,6,0,1,0
51729,55,1,4,NA,6,0,1,0
61729,60,0,4,NA,6,0,1,0
71729,25,0,6,NA,6,0,1,0
81729,40,0,4,NA,6,0,1,0
91729,25,1,4,NA,6,0,1,0
101729,60,0,8,NA,6,0,1,0
111729,36,1,1,NA,6,0,1,0
121729,50,0,6,NA,6,0,1,0
131729,29,1,5,NA,6,0,1,0
141729,50,0,9,NA,6,0,1,0
151729,55,1,6,NA,6,0,1,0
161729,56,1,7,NA,6,0,1,0
181729,45,1,4,NA,6,0,1,0
191729,55,1,7,NA,6,0,1,0
201729,55,0,7,NA,6,0,1,0
211729,50,0,6,NA,6,0,1,0
221729,4,1,1,NA,6,0,1,0
231729,45,0,6,NA,6,0,1,0
241729,50,1,10,NA,6,0,1,0
251729,55,1,7,NA,6,0,1,0
261729,50,1,5,NA,6,0,1,0
271729,26,0,7,NA,6,0,1,0
281729,50,0,5,NA,6,0,1,0
291729,35,1,2,NA,6,0,1,0
301729,25,0,5,NA,6,0,1,0
321729,75,1,6,NA,6,0,1,0
11359,50,1,3,NA,1,0,1,0
21359,30,0,3,NA,1,0,1,0
31359,65,0,5,NA,1,0,1,0
41359,45,1,2,NA,1,0,1,0
51359,25,1,2,NA,1,0,1,0
61359,35,0,3,NA,1,0,1,0
71359,50,0,6,NA,1,0,1,0
81359,40,0,3,NA,1,0,1,0
91359,11,1,7,NA,1,0,1,0
101359,27,0,8,NA,1,0,1,0
111359,61,0,3,NA,1,0,1,0
121359,55,1,6,NA,1,0,1,0
131359,50,1,6,NA,1,0,1,0
141359,35,0,3,NA,1,0,1,0
151359,65,1,8,NA,1,0,1,0
161359,75,0,2,NA,1,0,1,0
171359,60,1,6,NA,1,0,1,0
181359,55,1,5,NA,1,0,1,0
191359,60,0,8,NA,1,0,1,0
201359,79,1,5,NA,1,0,1,0
211359,33,1,3,NA,1,0,1,0
221359,50,0,3,NA,1,0,1,0
231359,50,1,4,NA,1,0,1,0
241359,40,1,5,NA,1,0,1,0
251359,48,1,4,NA,1,0,1,0
261359,26,1,2,NA,1,0,1,0
271359,40,1,3,NA,1,0,1,0
281359,76,1,7,NA,1,0,1,0
291359,20,0,3,NA,1,0,1,0
301359,32,1,2,NA,1,0,1,0
311359,53,1,2,NA,1,0,1,0
321359,55,0,3,NA,1,0,1,0
