task,safe,female,mean_soep,sd_soep,mann_whitney
BRET,0,0,5.3584905660377355,1.9527205893087092,0.03633571264240217
BRET,0,1,4.842424242424243,2.056967680454195,0.03633571264240217
BRET,1,0,5.1506849315068495,2.3134343930658132,0.012645835790275856
BRET,1,1,4.338983050847458,1.8866165571992377,0.012645835790275856
EG,0,0,5.385964912280702,2.2893728552106665,0.029960797686748062
EG,0,1,4.571428571428571,2.0224306079343672,0.029960797686748062
EG,1,0,5.388059701492537,2.059385197169563,0.18012010840783457
EG,1,1,4.948717948717949,2.185533522176399,0.18012010840783457
HL,0,0,5.559523809523809,1.9778970850234723,8.441685268995757e-4
HL,0,1,4.5473684210526315,2.0199453386991904,8.441685268995757e-4
HL,1,0,5.075949367088608,2.257592045423018,0.003253078797183741
HL,1,1,4.104651162790698,1.866289617316807,0.003253078797183741
